latency type position
3472159724065800 0 1
3472162725045400 0 1
3472163825991800 1 1
3472168625804700 1 1
3472171524862200 1 1
3472174325440800 1 1
3472177224183900 1 1
3472180123984500 1 1
3472182923208300 1 1
3472185825616600 1 1
3472188625947200 1 1
3472193425389600 0 1
3472196023585000 1 1
3472198923049700 1 1
3472201825667400 1 1
3472205723008000 0 1
3472208732349700 0 1
3472211824335500 0 1
3472214923297600 0 1
3472217623776800 1 1
3472222024228200 1 1
3472227124998800 0 1
3472230225745500 0 1
3472233323138100 0 1
3472236324587500 0 1
3472239425567200 0 1
3472241340714500 1 1
3472245623552400 0 1
3472248625907400 0 1
3472261623328200 0 1
3472264625274700 0 1
3472267722987800 0 1
3472270724478700 0 1
3472160122043800 0 2
3472163123149700 0 2
3472164224221600 1 2
3472169023802700 1 2
3472171922979200 1 2
3472174723416300 1 2
3472177622416900 1 2
3472180521211200 1 2
3472183321714600 1 2
3472186224334000 1 2
3472189024338500 1 2
3472193823798500 0 2
3472196422559400 1 2
3472199321163800 1 2
3472202224280300 1 2
3472206121032200 0 2
3472209122724100 0 2
3472212224221200 0 2
3472215321641800 0 2
3472218022402000 1 2
3472222422032200 1 2
3472227523068200 0 2
3472230623649400 0 2
3472233721123800 0 2
3472236722608200 0 2
3472239823301700 0 2
3472241721503100 1 2
3472246021770500 0 2
3472249023357900 0 2
3472262022015100 0 2
3472265023529900 0 2
3472268120992100 0 2
3472271122571600 0 2
