latency type position
197191741869000 0 1
197193540410000 1 1
197197541045300 1 1
197201539878700 1 1
197204541757900 1 1
197207741708300 1 1
197210141530800 0 1
197213239321300 0 1
197217239159100 1 1
197220141520000 1 1
197223040893200 1 1
197225841183100 1 1
197228740400600 1 1
197231540061300 0 1
197234640144200 0 1
197237741287000 0 1
197240839314100 0 1
197243840587300 0 1
197245840906500 1 1
197250039011700 0 1
197253040476100 0 1
197257841139800 0 1
197264438946700 0 1
197290039165000 0 1
197294439191600 0 1
197299840635100 0 1
197302941513300 0 1
197306039125100 0 1
197309040416700 0 1
197192154680900 0 2
197193938327000 1 2
197197938217800 1 2
197201937817400 1 2
197204939844000 1 2
197208139396300 1 2
197210539744100 0 2
197213637381800 0 2
197217637745200 1 2
197220539345600 1 2
197223438975800 1 2
197226239106200 1 2
197229138248600 1 2
197231947680500 0 2
197235039496800 0 2
197238139477800 0 2
197241237380000 0 2
197244239089300 0 2
197246238996400 1 2
197250437051300 0 2
197253439062900 0 2
197258238863700 0 2
197264837531400 0 2
197290437203900 0 2
197294836958200 0 2
197300238536500 0 2
197303339384600 0 2
197306437089800 0 2
197309438447400 0 2
