latency type position
3.8098 0 1
5.6083 1 1
9.6089 1 1
13.608 1 1
16.61 1 1
19.81 1 1
22.209 0 1
25.307 0 1
29.307 1 1
32.209 1 1
35.109 1 1
37.909 1 1
40.808 1 1
43.608 0 1
46.708 0 1
49.809 0 1
52.907 0 1
55.908 0 1
57.909 1 1
62.107 0 1
65.108 0 1
69.909 0 1
76.507 0 1
102.11 0 1
106.51 0 1
111.91 0 1
115.01 0 1
118.11 0 1
121.11 0 1
4.2226 0 2
6.0062 1 2
10.006 1 2
14.006 1 2
17.008 1 2
20.207 1 2
22.608 0 2
25.705 0 2
29.706 1 2
32.607 1 2
35.507 1 2
38.307 1 2
41.206 1 2
44.016 0 2
47.107 0 2
50.207 0 2
53.305 0 2
56.307 0 2
58.307 1 2
62.505 0 2
65.507 0 2
70.307 0 2
76.905 0 2
102.51 0 2
106.9 0 2
112.31 0 2
115.41 0 2
118.5 0 2
121.51 0 2
